task,model,MAE,MAPE,RMSE,NSE
24h,STGCN,12.3576910431,2.42452648,7.9045915979,0.9605898151
24h,DCRNN,11.9173036861,2.21292761,6.848257339,0.9704192118
24h,DCRNN + SAS-Norm,10.4679935283,2.01044809,6.1338861334,0.9762687279
24h,DCRNN + FA-DPR,11.2380993349,1.94454979,6.0790357204,0.9766912497
24h,STaR-GNN,9.4241992052,1.80457392,5.5346555758,0.9806789467
168h,STGCN,14.5691800061,3.57584815,10.305691378,0.9333373086
168h,DCRNN,16.8007438654,3.24841261,9.8174281057,0.9395043653
168h,DCRNN + SAS-Norm,12.207835115,2.10237976,6.4683122461,0.973739044
168h,DCRNN + FA-DPR,14.0859935556,3.27771584,9.3324152446,0.9453340768
168h,STaR-GNN,12.2335903993,2.01377429,6.1608814144,0.9761760221
