task,DMA,model,MAE,MAPE,RMSE,NSE
24h,A,GRU,0.7380000000,11.8000000000,0.8840000000,0.6990000000
24h,A,LSTM,0.7700000000,12.5000000000,0.9300000000,0.6500000000
24h,A,MSNet,0.8800000000,13.6000000000,1.0300000000,0.5770000000
24h,A,MSCMNet-WM,0.9260000000,13.6000000000,1.0810000000,0.5520000000
24h,A,MSCMNet-M,0.8930000000,13.2000000000,1.0540000000,0.5790000000
24h,A,MSCMNet-W,0.7390000000,12.0000000000,0.8760000000,0.7160000000
24h,B,GRU,0.3860000000,4.1000000000,0.4700000000,0.6890000000
24h,B,LSTM,0.3970000000,4.2000000000,0.4800000000,0.6730000000
24h,B,MSNet,0.3730000000,3.9000000000,0.4610000000,0.6830000000
24h,B,MSCMNet-WM,0.3760000000,4.1000000000,0.4340000000,0.7160000000
24h,B,MSCMNet-M,0.3700000000,4.0000000000,0.4330000000,0.7140000000
24h,B,MSCMNet-W,0.3940000000,4.3000000000,0.4540000000,0.6800000000
24h,C,GRU,0.3020000000,11.0000000000,0.3880000000,0.7670000000
24h,C,LSTM,0.6200000000,23.8000000000,0.6870000000,0.2390000000
24h,C,MSNet,0.3140000000,9.6000000000,0.3910000000,0.7440000000
24h,C,MSCMNet-WM,0.2430000000,9.0000000000,0.3050000000,0.8480000000
24h,C,MSCMNet-M,0.3180000000,11.5000000000,0.3770000000,0.7580000000
24h,C,MSCMNet-W,0.2990000000,11.0000000000,0.3670000000,0.7820000000
24h,D,GRU,3.1440000000,9.1000000000,3.7470000000,0.6170000000
24h,D,LSTM,2.3390000000,7.1000000000,2.9200000000,0.7740000000
24h,D,MSNet,3.7280000000,12.7000000000,4.2980000000,0.2720000000
24h,D,MSCMNet-WM,3.6550000000,10.8000000000,4.1280000000,0.5060000000
24h,D,MSCMNet-M,3.1420000000,9.4000000000,3.6030000000,0.6250000000
24h,D,MSCMNet-W,3.2630000000,9.7000000000,3.7000000000,0.5970000000
24h,E,GRU,3.4750000000,4.5000000000,4.4570000000,0.8750000000
24h,E,LSTM,2.7700000000,3.5000000000,3.6700000000,0.9130000000
24h,E,MSNet,1.8670000000,2.3000000000,2.2860000000,0.9720000000
24h,E,MSCMNet-WM,1.8370000000,2.4000000000,2.2400000000,0.9720000000
24h,E,MSCMNet-M,1.9660000000,2.5000000000,2.4600000000,0.9650000000
24h,E,MSCMNet-W,1.8640000000,2.4000000000,2.3010000000,0.9710000000
24h,F,GRU,1.9640000000,17.9000000000,2.1440000000,-1.5130000000
24h,F,LSTM,2.5370000000,23.1000000000,2.6630000000,-2.8660000000
24h,F,MSNet,1.4250000000,14.9000000000,1.6210000000,-2.3920000000
24h,F,MSCMNet-WM,1.3350000000,11.6000000000,1.5200000000,-0.3610000000
24h,F,MSCMNet-M,1.2410000000,10.8000000000,1.4280000000,-0.1870000000
24h,F,MSCMNet-W,1.3720000000,12.0000000000,1.5510000000,-0.3910000000
24h,G,GRU,1.2930000000,4.9000000000,1.6660000000,0.8130000000
24h,G,LSTM,2.1010000000,8.1000000000,2.5940000000,0.5970000000
24h,G,MSNet,1.2510000000,4.6000000000,1.5800000000,0.8030000000
24h,G,MSCMNet-WM,1.1570000000,4.7000000000,1.3480000000,0.8840000000
24h,G,MSCMNet-M,1.1310000000,4.4000000000,1.3360000000,0.8840000000
24h,G,MSCMNet-W,1.0320000000,4.1000000000,1.2270000000,0.9020000000
24h,H,GRU,1.5260000000,7.0000000000,2.0420000000,0.8870000000
24h,H,LSTM,2.1330000000,9.2000000000,2.7440000000,0.8140000000
24h,H,MSNet,2.0460000000,9.0000000000,2.4890000000,0.8210000000
24h,H,MSCMNet-WM,1.7550000000,6.9000000000,2.1960000000,0.8850000000
24h,H,MSCMNet-M,2.0910000000,8.2000000000,2.5440000000,0.8460000000
24h,H,MSCMNet-W,2.0030000000,7.9000000000,2.4060000000,0.8610000000
24h,I,GRU,1.4980000000,6.2000000000,1.8550000000,-0.3410000000
24h,I,LSTM,1.5630000000,6.4000000000,1.9140000000,-0.2570000000
24h,I,MSNet,1.7830000000,7.6000000000,2.1330000000,-0.4690000000
24h,I,MSCMNet-WM,1.4770000000,5.8000000000,1.7980000000,0.3720000000
24h,I,MSCMNet-M,1.8050000000,7.0000000000,2.1310000000,0.1930000000
24h,I,MSCMNet-W,1.5840000000,6.2000000000,1.9010000000,0.2870000000
24h,J,GRU,1.9880000000,8.8000000000,2.3090000000,-0.1560000000
24h,J,LSTM,2.4670000000,11.0000000000,2.8030000000,-0.8330000000
24h,J,MSNet,1.8710000000,7.5000000000,2.1120000000,0.2730000000
24h,J,MSCMNet-WM,2.0280000000,9.1000000000,2.2710000000,0.0880000000
24h,J,MSCMNet-M,1.9550000000,8.8000000000,2.2060000000,0.1410000000
24h,J,MSCMNet-W,1.9210000000,8.7000000000,2.1580000000,0.1710000000
168h,A,GRU,0.8280000000,13.3000000000,1.0280000000,0.7060000000
168h,A,LSTM,0.8080000000,13.0000000000,1.0060000000,0.7180000000
168h,A,MSNet,0.8690000000,13.4000000000,1.0550000000,0.5880000000
168h,A,MSCMNet-WM,0.9490000000,13.8000000000,1.1350000000,0.6420000000
168h,A,MSCMNet-M,0.8090000000,12.3000000000,0.9850000000,0.7350000000
168h,A,MSCMNet-W,0.7330000000,11.7000000000,0.8890000000,0.7840000000
168h,B,GRU,0.3930000000,4.2000000000,0.4930000000,0.6980000000
168h,B,LSTM,0.3990000000,4.2000000000,0.4990000000,0.6880000000
168h,B,MSNet,0.3830000000,4.0000000000,0.4790000000,0.6740000000
168h,B,MSCMNet-WM,0.3990000000,4.4000000000,0.4630000000,0.7220000000
168h,B,MSCMNet-M,0.4060000000,4.5000000000,0.4760000000,0.7040000000
168h,B,MSCMNet-W,0.4200000000,4.6000000000,0.4870000000,0.6900000000
168h,C,GRU,0.3030000000,11.1000000000,0.4150000000,0.7430000000
168h,C,LSTM,0.6300000000,24.1000000000,0.6980000000,0.2760000000
168h,C,MSNet,0.3100000000,9.5000000000,0.3980000000,0.7500000000
168h,C,MSCMNet-WM,0.2340000000,8.7000000000,0.3040000000,0.8610000000
168h,C,MSCMNet-M,0.3240000000,11.9000000000,0.3860000000,0.7770000000
168h,C,MSCMNet-W,0.2940000000,10.8000000000,0.3680000000,0.7960000000
168h,D,GRU,3.2850000000,9.5000000000,3.9880000000,0.5850000000
168h,D,LSTM,2.3420000000,7.0000000000,2.9840000000,0.7720000000
168h,D,MSNet,3.8040000000,13.0000000000,4.4520000000,0.2540000000
168h,D,MSCMNet-WM,3.7620000000,11.1000000000,4.3050000000,0.5060000000
168h,D,MSCMNet-M,3.2810000000,9.7000000000,3.8110000000,0.6140000000
168h,D,MSCMNet-W,3.3640000000,10.0000000000,3.8750000000,0.5970000000
