task,DMA,model,MAE,MAPE,RMSE,NSE
24h,A,DCRNN,1.0203675539,15.9364747300,1.5315690389,0.4449228065
24h,B,DCRNN,0.3706519906,3.8499216800,0.4896396706,0.7318109036
24h,C,DCRNN,0.3030954584,10.1988860000,0.4018766501,0.7611339123
24h,D,DCRNN,2.0524055163,6.3669583800,2.5956689507,0.8435797753
24h,E,DCRNN,1.6182172679,1.9852453900,2.1305072433,0.9777956861
24h,F,DCRNN,0.7163408818,6.6477662400,0.8886880245,0.5791839768
24h,G,DCRNN,1.0022710043,3.8919971400,1.2963087445,0.9052926958
24h,H,DCRNN,1.9012301832,7.7794047700,2.4427212306,0.8669822269
24h,I,DCRNN,1.7086670710,6.6438153300,2.1758731008,0.3599000009
24h,J,DCRNN,1.2240567587,5.2430634500,1.5496392393,0.8293061576
24h,A,STGCN,0.8261006429,12.5582898400,1.2391994592,0.6366186303
24h,B,STGCN,0.3138476580,3.3420598900,0.4153312536,0.8070356198
24h,C,STGCN,0.4143265021,16.1203152200,0.4879873924,0.6478025939
24h,D,STGCN,2.1428031835,6.5977181500,2.6946881398,0.8314179529
24h,E,STGCN,2.3865403023,2.8540877900,3.1733208511,0.9507394452
24h,F,STGCN,0.7203390417,6.6590442200,0.8943928294,0.5737638999
24h,G,STGCN,1.1116534109,4.2512329100,1.4180599352,0.8866671664
24h,H,STGCN,1.5954751770,7.2303238500,2.0978312407,0.9018923313
24h,I,STGCN,1.3045567119,5.3127620700,1.5726150653,0.6656313408
24h,J,STGCN,1.5420484128,6.8786303200,1.9042683860,0.7422415213
24h,A,STaR-GNN,0.8061117787,12.4126303600,1.2288080264,0.6426874207
24h,B,STaR-GNN,0.2640247077,2.7750966000,0.3665056408,0.8497379709
24h,C,STaR-GNN,0.1607666443,5.3978967100,0.2091194974,0.9353217884
24h,D,STaR-GNN,2.0169201502,6.2777836900,2.5132770623,0.8533523741
24h,E,STaR-GNN,1.2576732221,1.5565004100,1.5931883854,0.9875833171
24h,F,STaR-GNN,0.6259946732,5.8889275100,0.7869913619,0.6699851040
24h,G,STaR-GNN,0.8102728578,3.1027616500,1.0278440641,0.9404583264
24h,H,STaR-GNN,1.2550205200,5.3787642300,1.7802557567,0.9293476427
24h,I,STaR-GNN,1.0448147110,4.2851947100,1.3162441890,0.7657640050
24h,J,STaR-GNN,1.1825999402,5.2047391200,1.4832469207,0.8436191549
168h,A,DCRNN,1.1772848013,16.2627711100,1.6175801265,0.3703321831
168h,B,DCRNN,0.5853862589,6.3493515600,0.7331654687,0.4003862596
168h,C,DCRNN,0.4117884068,14.2373705700,0.5222888168,0.5939409193
168h,D,DCRNN,2.5395067901,7.6982664200,3.1965917289,0.7606750090
168h,E,DCRNN,2.9231837220,3.6424063800,3.9192289590,0.9247884603
168h,F,DCRNN,0.7678297869,7.3318783600,0.9502862673,0.5012756115
168h,G,DCRNN,1.4340387166,5.6214312500,1.8597452410,0.8049781299
168h,H,DCRNN,3.0466129908,13.7746929800,3.6829591394,0.7010384265
168h,I,DCRNN,1.9416057511,7.7902758300,2.3733399184,0.2423988466
168h,J,DCRNN,1.9735066409,8.5342829700,2.4440813227,0.5812148886
168h,A,STGCN,0.9007087082,13.2136075800,1.2746755234,0.6089978150
168h,B,STGCN,0.4407941813,4.7413236900,0.5553414886,0.6559767355
168h,C,STGCN,0.3058393023,11.3124587700,0.3670116017,0.7994940063
168h,D,STGCN,2.3459017250,7.1158698600,2.9104489958,0.8016036426
168h,E,STGCN,2.6848304084,3.3636823900,3.1939491233,0.9500495740
168h,F,STGCN,0.9476906486,8.5971418800,1.1445476074,0.2765318380
168h,G,STGCN,1.1695031490,4.4900228800,1.4507302119,0.8813276027
168h,H,STGCN,1.9161273046,7.7113960800,2.3007525702,0.8833294081
168h,I,STGCN,1.8900114184,7.4186810700,2.2715092300,0.3060155313
168h,J,STGCN,1.9677731603,8.7230999600,2.4800414269,0.5688009458
168h,A,STaR-GNN,0.8594634745,12.4448738000,1.2482813633,0.6250227976
168h,B,STaR-GNN,0.3373338101,3.5869776700,0.4388768602,0.7851413024
168h,C,STaR-GNN,0.2051712279,6.6474925600,0.2694018040,0.8919639313
168h,D,STaR-GNN,2.3024518771,6.9695761700,2.8780345501,0.8059982199
168h,E,STaR-GNN,2.0906090884,2.5358123500,2.6000277779,0.9668991471
168h,F,STaR-GNN,0.6945553594,6.4533581800,0.8641979814,0.5875434593
168h,G,STaR-GNN,1.1547547367,4.3403691300,1.4688263642,0.8783485407
168h,H,STaR-GNN,1.5336636659,6.3135455500,1.9707948925,0.9143939565
168h,I,STaR-GNN,1.4544642396,5.8734418900,1.8126786838,0.5580609327
168h,J,STaR-GNN,1.6011229197,6.8737794600,2.0183280055,0.7144097205
