task,model,MAE,MAPE,RMSE,NSE
24h,GRU (reported),16.314,3.1,10.194,0.916
24h,LSTM (reported),17.698,2.9,9.711,0.92
24h,MSNet (reported),15.537,3.2,9.526,0.929
24h,MSCMNet_WM (reported),14.79,2.7,7.924,0.957
24h,MSCMNet_M (reported),14.912,2.8,8.111,0.954
24h,MSCMNet_W (reported),14.471,2.6,7.586,0.959
24h,DCRNN,11.917304,2.212928,6.848257,0.970419
24h,STGCN,12.357691,2.424526,7.904592,0.96059
24h,STaR-GNN,9.424199,1.804574,5.534656,0.980679
168h,GRU (reported),18.305,3.1,11.353,0.918
168h,LSTM (reported),18.678,2.9,11.031,0.922
168h,MSNet (reported),15.908,3.2,9.698,0.93
168h,MSCMNet_WM (reported),15.29,2.7,8.097,0.957
168h,MSCMNet_M (reported),15.405,2.8,8.395,0.953
168h,MSCMNet_W (reported),14.95,2.6,7.756,0.96
168h,DCRNN,16.800744,3.248413,9.817428,0.939504
168h,STGCN,14.56918,3.575848,10.305691,0.933337
168h,STaR-GNN,12.23359,2.013774,6.160881,0.976176
