task,DMA,MAE,MAPE,RMSE,NSE
24h,A,0.8061117787,12.41263036,1.2288080264,0.6426874207
24h,B,0.2640247077,2.7750966,0.3665056408,0.8497379709
24h,C,0.1607666443,5.3978967099999995,0.2091194974,0.9353217884
24h,D,2.0169201502,6.27778369,2.5132770623,0.8533523741
24h,E,1.2576732221,1.55650041,1.5931883854,0.9875833171
24h,F,0.6259946732,5.88892751,0.7869913619,0.669985104
24h,G,0.8102728578,3.10276165,1.0278440641,0.9404583264
24h,H,1.25502052,5.37876423,1.7802557567,0.9293476427
24h,I,1.044814711,4.28519471,1.316244189,0.765764005
24h,J,1.1825999402,5.20473912,1.4832469207,0.8436191549
168h,A,0.8594634745,12.4448738,1.2482813633,0.6250227976
168h,B,0.3373338101,3.58697767,0.4388768602,0.7851413024
168h,C,0.2051712279,6.64749256,0.269401804,0.8919639313
168h,D,2.3024518771,6.96957617,2.8780345501,0.8059982199
168h,E,2.0906090884,2.53581235,2.6000277779,0.9668991471
168h,F,0.6945553594,6.45335818,0.8641979814,0.5875434593
168h,G,1.1547547367,4.34036913,1.4688263642,0.8783485407
168h,H,1.5336636659,6.313545550000001,1.9707948925,0.9143939565
168h,I,1.4544642396,5.8734418900000005,1.8126786838,0.5580609327
168h,J,1.6011229197,6.87377946,2.0183280055,0.7144097205
