task,DMA,model,MAE,MAPE,RMSE,NSE
24h,A,GRU,0.738,11.800,0.884,0.699
24h,A,LSTM,0.770,12.500,0.930,0.650
24h,A,MSNet,0.880,13.600,1.030,0.577
24h,A,MSCMNet-WM,0.926,13.600,1.081,0.552
24h,A,MSCMNet-M,0.893,13.200,1.054,0.579
24h,A,MSCMNet-W,0.739,12.000,0.876,0.716
24h,B,GRU,0.386,4.100,0.470,0.689
24h,B,LSTM,0.397,4.200,0.480,0.673
24h,B,MSNet,0.373,3.900,0.461,0.683
24h,B,MSCMNet-WM,0.376,4.100,0.434,0.716
24h,B,MSCMNet-M,0.370,4.000,0.433,0.714
24h,B,MSCMNet-W,0.394,4.300,0.454,0.680
24h,C,GRU,0.302,11.000,0.388,0.767
24h,C,LSTM,0.620,23.800,0.687,0.239
24h,C,MSNet,0.314,9.600,0.391,0.744
24h,C,MSCMNet-WM,0.243,9.000,0.305,0.848
24h,C,MSCMNet-M,0.318,11.500,0.377,0.758
24h,C,MSCMNet-W,0.299,11.000,0.367,0.782
24h,D,GRU,3.144,9.100,3.747,0.617
24h,D,LSTM,2.339,7.100,2.920,0.774
24h,D,MSNet,3.728,12.700,4.298,0.272
24h,D,MSCMNet-WM,3.655,10.800,4.128,0.506
24h,D,MSCMNet-M,3.142,9.400,3.603,0.625
24h,D,MSCMNet-W,3.263,9.700,3.700,0.597
24h,E,GRU,3.475,4.500,4.457,0.875
24h,E,LSTM,2.770,3.500,3.670,0.913
24h,E,MSNet,1.867,2.300,2.286,0.972
24h,E,MSCMNet-WM,1.837,2.400,2.240,0.972
24h,E,MSCMNet-M,1.966,2.500,2.460,0.965
24h,E,MSCMNet-W,1.864,2.400,2.301,0.971
24h,F,GRU,1.964,17.900,2.144,-1.513
24h,F,LSTM,2.537,23.100,2.663,-2.866
24h,F,MSNet,1.425,14.900,1.621,-2.392
24h,F,MSCMNet-WM,1.335,11.600,1.520,-0.361
24h,F,MSCMNet-M,1.241,10.800,1.428,-0.187
24h,F,MSCMNet-W,1.372,12.000,1.551,-0.391
24h,G,GRU,1.293,4.900,1.666,0.813
24h,G,LSTM,2.101,8.100,2.594,0.597
24h,G,MSNet,1.251,4.600,1.580,0.803
24h,G,MSCMNet-WM,1.157,4.700,1.348,0.884
24h,G,MSCMNet-M,1.131,4.400,1.336,0.884
24h,G,MSCMNet-W,1.032,4.100,1.227,0.902
24h,H,GRU,1.526,7.000,2.042,0.887
24h,H,LSTM,2.133,9.200,2.744,0.814
24h,H,MSNet,2.046,9.000,2.489,0.821
24h,H,MSCMNet-WM,1.755,6.900,2.196,0.885
24h,H,MSCMNet-M,2.091,8.200,2.544,0.846
24h,H,MSCMNet-W,2.003,7.900,2.406,0.861
24h,I,GRU,1.498,6.200,1.855,-0.341
24h,I,LSTM,1.563,6.400,1.914,-0.257
24h,I,MSNet,1.783,7.600,2.133,-0.469
24h,I,MSCMNet-WM,1.477,5.800,1.798,0.372
24h,I,MSCMNet-M,1.805,7.000,2.131,0.193
24h,I,MSCMNet-W,1.584,6.200,1.901,0.287
24h,J,GRU,1.988,8.800,2.309,-0.156
24h,J,LSTM,2.467,11.000,2.803,-0.833
24h,J,MSNet,1.871,7.500,2.112,0.273
24h,J,MSCMNet-WM,2.028,9.100,2.271,0.088
24h,J,MSCMNet-M,1.955,8.800,2.206,0.141
24h,J,MSCMNet-W,1.921,8.700,2.158,0.171
168h,A,GRU,0.828,13.300,1.028,0.706
168h,A,LSTM,0.808,13.000,1.006,0.718
168h,A,MSNet,0.869,13.400,1.055,0.588
168h,A,MSCMNet-WM,0.949,13.800,1.135,0.642
168h,A,MSCMNet-M,0.809,12.300,0.985,0.735
168h,A,MSCMNet-W,0.733,11.700,0.889,0.784
168h,B,GRU,0.393,4.200,0.493,0.698
168h,B,LSTM,0.399,4.200,0.499,0.688
168h,B,MSNet,0.383,4.000,0.479,0.674
168h,B,MSCMNet-WM,0.399,4.400,0.463,0.722
168h,B,MSCMNet-M,0.406,4.500,0.476,0.704
168h,B,MSCMNet-W,0.420,4.600,0.487,0.690
168h,C,GRU,0.303,11.100,0.415,0.743
168h,C,LSTM,0.630,24.100,0.698,0.276
168h,C,MSNet,0.310,9.500,0.398,0.750
168h,C,MSCMNet-WM,0.234,8.700,0.304,0.861
168h,C,MSCMNet-M,0.324,11.900,0.386,0.777
168h,C,MSCMNet-W,0.294,10.800,0.368,0.796
168h,D,GRU,3.285,9.500,3.988,0.585
168h,D,LSTM,2.342,7.000,2.984,0.772
168h,D,MSNet,3.804,13.000,4.452,0.254
168h,D,MSCMNet-WM,3.762,11.100,4.305,0.506
168h,D,MSCMNet-M,3.281,9.700,3.811,0.614
168h,D,MSCMNet-W,3.364,10.000,3.875,0.597
168h,E,GRU,3.484,4.500,5.054,0.872
168h,E,LSTM,2.760,3.500,4.195,0.912
168h,E,MSNet,1.864,2.300,2.365,0.972
168h,E,MSCMNet-WM,1.854,2.400,2.365,0.972
168h,E,MSCMNet-M,1.819,2.400,2.416,0.971
168h,E,MSCMNet-W,1.881,2.400,2.387,0.971
168h,F,GRU,2.205,20.000,2.392,-1.781
168h,F,LSTM,2.648,24.000,2.791,-2.772
168h,F,MSNet,1.472,15.400,1.702,-2.543
168h,F,MSCMNet-WM,1.384,12.000,1.611,-0.303
168h,F,MSCMNet-M,1.518,13.200,1.738,-0.512
168h,F,MSCMNet-W,1.425,12.400,1.643,-0.346
168h,G,GRU,1.266,4.800,1.838,0.803
168h,G,LSTM,2.142,8.300,2.705,0.578
168h,G,MSNet,1.276,4.700,1.670,0.802
168h,G,MSCMNet-WM,1.217,4.900,1.430,0.877
168h,G,MSCMNet-M,1.069,4.200,1.292,0.901
168h,G,MSCMNet-W,1.075,4.300,1.295,0.900
168h,H,GRU,1.655,7.500,2.243,0.888
168h,H,LSTM,2.170,9.300,2.810,0.824
