model,day,model_MAE,dcrnn_MAE,MAE_reduction_vs_DCRNN_pct
DCRNN + SAS-Norm,1,11.809361689,13.849801935,14.732631236
DCRNN + SAS-Norm,2,12.122005830,15.782628228,23.193997509
DCRNN + SAS-Norm,3,12.269989941,16.768746506,26.828222154
DCRNN + SAS-Norm,4,12.348678081,17.064185099,27.633942029
DCRNN + SAS-Norm,5,12.518003804,17.382500238,27.985021530
DCRNN + SAS-Norm,6,12.265324612,17.610655941,30.352823580
DCRNN + SAS-Norm,7,12.121481848,19.146689110,36.691499098
DCRNN + FA-DPR,1,13.361313325,13.849801935,3.527044013
DCRNN + FA-DPR,2,13.066417157,15.782628228,17.210131492
DCRNN + FA-DPR,3,13.694287229,16.768746506,18.334460932
DCRNN + FA-DPR,4,14.182443944,17.064185099,16.887657619
DCRNN + FA-DPR,5,14.550237417,17.382500238,16.293759714
DCRNN + FA-DPR,6,14.791399175,17.610655941,16.008811798
DCRNN + FA-DPR,7,14.955856642,19.146689110,21.888026927
STaR-GNN,1,11.901981719,13.849801935,14.063884994
STaR-GNN,2,12.166059977,15.782628228,22.914866895
STaR-GNN,3,12.339827678,16.768746506,26.411746557
STaR-GNN,4,12.337859896,17.064185099,27.697339050
STaR-GNN,5,12.511134234,17.382500238,28.024541564
STaR-GNN,6,12.274145969,17.610655941,30.302732561
STaR-GNN,7,12.104123322,19.146689110,36.782159816
