model,internal_model,day,mean_MAE,ci95_lower,ci95_upper
STGCN,STGCN,1,14.576837308,13.947057734,15.226377793
STGCN,STGCN,2,14.549755178,13.916578440,15.190125226
STGCN,STGCN,3,14.542249850,13.923642639,15.145725571
STGCN,STGCN,4,14.482768016,13.870757733,15.112158052
STGCN,STGCN,5,14.601035074,14.055768094,15.159926270
STGCN,STGCN,6,14.569676117,14.044524262,15.115255759
STGCN,STGCN,7,14.661938500,14.162491072,15.198684034
DCRNN,DCRNN,1,13.849801935,13.312524297,14.389541495
DCRNN,DCRNN,2,15.782628228,15.368230426,16.189700221
DCRNN,DCRNN,3,16.768746506,16.268509973,17.315024374
DCRNN,DCRNN,4,17.064185099,16.608445286,17.553851108
DCRNN,DCRNN,5,17.382500238,16.762303600,18.074839036
DCRNN,DCRNN,6,17.610655941,16.686255062,18.578000221
DCRNN,DCRNN,7,19.146689110,17.872846183,20.852260459
DCRNN + SAS-Norm,State,1,11.809361689,11.396719154,12.247556244
DCRNN + SAS-Norm,State,2,12.122005830,11.756515961,12.495121515
DCRNN + SAS-Norm,State,3,12.269989941,11.911704926,12.634126743
DCRNN + SAS-Norm,State,4,12.348678081,12.030760886,12.661169211
DCRNN + SAS-Norm,State,5,12.518003804,12.194707393,12.869534918
DCRNN + SAS-Norm,State,6,12.265324612,11.885223455,12.633668622
DCRNN + SAS-Norm,State,7,12.121481848,11.738426689,12.496970928
DCRNN + FA-DPR,FA-DPR,1,13.361313325,12.953082750,13.758617476
DCRNN + FA-DPR,FA-DPR,2,13.066417157,12.722027457,13.415328430
DCRNN + FA-DPR,FA-DPR,3,13.694287229,13.290811003,14.104149423
DCRNN + FA-DPR,FA-DPR,4,14.182443944,13.736167857,14.662482103
DCRNN + FA-DPR,FA-DPR,5,14.550237417,14.077542810,15.025594054
DCRNN + FA-DPR,FA-DPR,6,14.791399175,14.294022389,15.284693578
DCRNN + FA-DPR,FA-DPR,7,14.955856642,14.457878744,15.470430737
STaR-GNN,Full,1,11.901981719,11.557025799,12.246472308
STaR-GNN,Full,2,12.166059977,11.790046085,12.542908317
STaR-GNN,Full,3,12.339827678,11.953072204,12.717096327
STaR-GNN,Full,4,12.337859896,11.999520903,12.662335498
STaR-GNN,Full,5,12.511134234,12.172166136,12.866699508
STaR-GNN,Full,6,12.274145969,11.887240109,12.632761603
STaR-GNN,Full,7,12.104123322,11.735820384,12.453848551
