task,model,internal_model,origin_position,common_index,publisher_MAE
24h,STGCN,STGCN,0,28,10.946964418
24h,STGCN,STGCN,1,29,12.458355024
24h,STGCN,STGCN,2,30,14.851218387
24h,STGCN,STGCN,3,31,12.841340229
24h,STGCN,STGCN,4,32,12.190986196
24h,STGCN,STGCN,5,33,10.552944293
24h,STGCN,STGCN,6,34,10.087877298
24h,STGCN,STGCN,7,35,10.106667663
24h,STGCN,STGCN,8,36,13.999940659
24h,STGCN,STGCN,9,37,18.737320115
24h,STGCN,STGCN,10,38,11.996211280
24h,STGCN,STGCN,11,39,11.922872345
24h,STGCN,STGCN,12,40,11.400323987
24h,STGCN,STGCN,13,41,11.121852805
24h,STGCN,STGCN,14,42,11.214641397
24h,STGCN,STGCN,15,43,12.369000345
24h,STGCN,STGCN,16,44,14.730147243
24h,STGCN,STGCN,17,45,10.443972344
24h,STGCN,STGCN,18,46,12.594851315
24h,STGCN,STGCN,19,47,11.443434611
24h,STGCN,STGCN,20,48,10.456023390
24h,STGCN,STGCN,21,49,10.042634547
24h,STGCN,STGCN,22,50,13.778157512
24h,STGCN,STGCN,23,51,14.637573669
24h,STGCN,STGCN,24,52,11.832688565
24h,STGCN,STGCN,25,53,13.947218354
24h,STGCN,STGCN,26,54,13.428331494
24h,STGCN,STGCN,27,55,13.063023811
24h,STGCN,STGCN,28,56,12.482509126
24h,STGCN,STGCN,29,57,12.995905131
24h,STGCN,STGCN,30,58,15.341976275
24h,STGCN,STGCN,31,59,11.027275041
24h,STGCN,STGCN,32,60,12.469003841
24h,STGCN,STGCN,33,61,14.022900855
24h,STGCN,STGCN,34,62,10.862153545
24h,STGCN,STGCN,35,63,12.124490678
24h,STGCN,STGCN,36,64,11.423772087
24h,STGCN,STGCN,37,65,12.085682109
24h,STGCN,STGCN,38,66,12.993253216
24h,STGCN,STGCN,39,67,10.744540676
24h,STGCN,STGCN,40,68,12.259627223
24h,STGCN,STGCN,41,69,10.989247243
24h,STGCN,STGCN,42,70,10.780629839
24h,STGCN,STGCN,43,71,12.563766832
24h,STGCN,STGCN,44,72,14.690088451
24h,STGCN,STGCN,45,73,11.400392517
24h,DCRNN,DCRNN,0,28,13.130931889
24h,DCRNN,DCRNN,1,29,9.947361355
24h,DCRNN,DCRNN,2,30,10.671490058
24h,DCRNN,DCRNN,3,31,17.448546633
24h,DCRNN,DCRNN,4,32,12.755641679
24h,DCRNN,DCRNN,5,33,10.204464177
24h,DCRNN,DCRNN,6,34,10.472501492
24h,DCRNN,DCRNN,7,35,10.658116246
24h,DCRNN,DCRNN,8,36,11.501941169
24h,DCRNN,DCRNN,9,37,14.340969483
24h,DCRNN,DCRNN,10,38,17.490186731
24h,DCRNN,DCRNN,11,39,11.616384288
24h,DCRNN,DCRNN,12,40,11.112098376
24h,DCRNN,DCRNN,13,41,11.791296015
24h,DCRNN,DCRNN,14,42,10.722890869
24h,DCRNN,DCRNN,15,43,9.750017832
24h,DCRNN,DCRNN,16,44,12.441317280
24h,DCRNN,DCRNN,17,45,14.978866145
24h,DCRNN,DCRNN,18,46,11.057737172
24h,DCRNN,DCRNN,19,47,10.845337753
24h,DCRNN,DCRNN,20,48,10.961176847
24h,DCRNN,DCRNN,21,49,11.051734626
24h,DCRNN,DCRNN,22,50,10.451141864
24h,DCRNN,DCRNN,23,51,11.884335717
24h,DCRNN,DCRNN,24,52,18.094009603
24h,DCRNN,DCRNN,25,53,11.684993650
24h,DCRNN,DCRNN,26,54,10.941275001
24h,DCRNN,DCRNN,27,55,12.073019380
24h,DCRNN,DCRNN,28,56,11.298441281
24h,DCRNN,DCRNN,29,57,9.498823017
24h,DCRNN,DCRNN,30,58,11.849387854
24h,DCRNN,DCRNN,31,59,17.371665344
24h,DCRNN,DCRNN,32,60,11.530529345
24h,DCRNN,DCRNN,33,61,11.198807254
24h,DCRNN,DCRNN,34,62,10.683990672
24h,DCRNN,DCRNN,35,63,11.604799589
24h,DCRNN,DCRNN,36,64,9.724463781
24h,DCRNN,DCRNN,37,65,8.591447994
24h,DCRNN,DCRNN,38,66,13.094948436
24h,DCRNN,DCRNN,39,67,9.987477526
