forecast_hour,observed_total,STGCN,DCRNN,STaR-GNN
1,186.775000334,193.637913227,189.066364288,196.014328241
2,180.660002828,182.073354006,176.853739500,184.127039194
3,175.512502789,177.040085793,170.785120010,178.967796803
4,170.132498860,176.652036905,169.852493286,177.303573132
5,172.297501564,178.043901682,172.601279020,178.791554689
6,181.762501001,187.953172207,184.772252798,187.966601849
7,222.504997253,222.954379082,222.501629114,224.486956120
8,292.937505245,275.722537994,273.335762978,282.415551424
9,292.962505817,294.911561489,289.680906773,302.299675226
10,285.757497549,290.867255211,286.171865940,296.500390530
11,276.235002756,279.651946545,275.212573528,285.136982203
12,271.937498093,268.864423275,268.519397974,277.415406227
13,266.094999552,267.917521715,266.806724310,274.757439613
14,268.210000038,267.428531647,263.682854176,272.261883259
15,261.732501745,258.277044058,255.399467230,265.498059750
16,254.494998217,250.203675270,247.691473007,255.902542591
17,253.167502880,247.635614872,245.170133591,250.398919344
18,251.987496614,251.215222836,248.298002005,251.797534466
19,254.330001354,257.299496174,254.892697096,257.524404526
20,261.401255846,266.528525829,261.483603477,263.226164341
21,258.844996452,263.262183189,259.349257231,260.481483936
22,240.684997320,239.585472822,239.661185503,239.987300634
23,221.477498531,220.425339699,219.809777260,218.735914230
24,209.275001526,210.722951174,209.165860415,208.216663361
25,196.252503157,196.414615631,194.976146698,196.065215111
26,181.739999413,183.305904150,182.527619600,185.200582027
27,174.942497969,177.778211594,176.048600435,179.846607208
28,172.522496462,175.928778887,174.103788853,178.169911385
29,173.217499018,175.839543343,174.014017105,178.393321514
30,179.078749895,183.126581430,177.744822025,182.232438326
31,193.074998856,208.881092548,194.548173666,202.875989676
32,228.889998913,245.313587666,229.904000282,246.655746460
33,266.392499447,278.573262215,268.100223541,292.367285490
34,292.452503681,296.196608543,287.866107464,304.494514465
35,291.257494926,291.880475521,285.318775177,297.633798599
36,281.025001049,281.525721550,276.771839142,287.046336889
37,276.644998074,274.844744682,270.492579699,279.453164101
38,275.639999390,269.093486071,264.481342077,273.043254852
39,262.845001221,259.064413309,256.689999104,264.171620607
40,250.704997540,248.627633572,249.089012623,254.151191235
41,245.760004282,247.395321131,245.894138575,248.489600658
42,252.840003729,249.763421774,247.975561142,248.745524168
43,252.792497396,252.412942410,252.700853348,251.616492271
44,247.857498646,255.532175064,256.706407070,253.787349463
45,245.742499590,252.426043749,254.464363337,250.531332493
46,229.804997444,236.288247108,240.136458635,234.876499891
47,214.982498407,221.615438461,221.924420595,218.990743876
48,215.662496567,208.568391085,214.128911495,211.784220695
49,196.995003462,197.777347088,203.610366821,199.098929405
50,179.219999433,184.399306536,192.458640814,188.744963646
51,174.947499156,177.592824697,185.742295265,182.797670126
52,176.952497721,175.452541351,183.902730942,180.789100647
53,175.045001268,175.962321043,184.955312252,180.687052488
54,177.595001459,183.254617453,189.563877583,182.632045031
55,186.072500229,200.554663420,202.500522375,192.653958082
56,217.850006580,236.709409475,228.336988926,220.663032293
57,256.834995747,266.789419174,260.285604954,263.741096497
58,289.249999046,286.185192585,282.511757851,298.468166828
59,289.510005951,289.954208851,285.527197599,304.054845333
60,288.730000973,280.308435440,278.079128265,295.105914116
61,286.072499275,274.885168076,268.855515003,281.656030416
62,272.514997244,265.565201759,259.170089722,266.745684624
63,264.924999714,254.653083801,249.966492176,252.255324841
64,242.972497702,245.418419361,244.177659035,241.856275082
65,241.467502117,245.630134821,244.104044914,239.206077576
66,246.282501936,248.323009253,249.088624954,243.720625877
67,258.402504683,252.585971117,256.660330296,250.880215645
68,271.032502413,255.723101616,264.151638985,257.069387913
69,266.277502537,252.569494486,265.508005619,256.459148884
70,239.877500296,240.052392960,252.274455786,239.704349995
71,221.579997540,223.998581171,231.249769926,221.760352135
72,223.814999819,213.826341629,219.906809330,212.551167965
73,191.617501259,194.840229273,205.210509777,196.198825359
74,179.195001125,182.579477787,191.918895721,183.263294935
75,174.214997172,179.985624552,185.985116720,178.091176748
76,178.622496724,178.124255180,184.090811253,176.413997650
77,181.032498717,177.437245131,186.164345980,177.023894072
78,186.917503119,187.558229685,197.768936157,185.339306831
79,224.855003834,225.342519045,232.163376331,222.660216331
80,290.567501545,280.960253239,281.726528645,283.624820948
81,295.260002136,297.064641953,297.634111881,300.842324734
82,283.901252270,290.948514938,294.382505417,294.343614578
83,278.017503500,278.764110088,282.732986450,281.063306570
84,282.387500048,268.204706669,273.938834906,272.459264755
85,269.954997778,268.183588505,270.702585697,270.608814955
86,267.425000429,267.439069748,268.031817436,270.048276663
