,A,B,C,D,E,F,G,H,I,J
A,0.000000000000,0.598074385220,0.627695622269,0.439476071734,0.528356550226,0.031923559005,0.568891912677,0.533434065934,0.310355380853,0.639883186065
B,0.598074385220,0.000000000000,0.833096165848,0.627304167291,0.713425866108,0.149885316336,0.662026560264,0.578810483035,0.356715740774,0.583586465068
C,0.627695622269,0.833096165848,0.000000000000,0.640639671051,0.659992466291,0.127447100819,0.628661665076,0.508726409730,0.161842091466,0.534013612892
D,0.439476071734,0.627304167291,0.640639671051,0.000000000000,0.856419091239,0.522767599894,0.671507882762,0.752268137045,0.288978771151,0.601811542985
E,0.528356550226,0.713425866108,0.659992466291,0.856419091239,0.000000000000,0.534975486248,0.846710667016,0.899370072830,0.498790773342,0.739454435296
F,0.031923559005,0.149885316336,0.127447100819,0.522767599894,0.534975486248,0.000000000000,0.451280033154,0.540467759964,0.262385115796,0.319876251959
G,0.568891912677,0.662026560264,0.628661665076,0.671507882762,0.846710667016,0.451280033154,0.000000000000,0.784604819339,0.405400630653,0.646929310678
H,0.533434065934,0.578810483035,0.508726409730,0.752268137045,0.899370072830,0.540467759964,0.784604819339,0.000000000000,0.580214655572,0.790095635726
I,0.310355380853,0.356715740774,0.161842091466,0.288978771151,0.498790773342,0.262385115796,0.405400630653,0.580214655572,0.000000000000,0.723579885504
J,0.639883186065,0.583586465068,0.534013612892,0.601811542985,0.739454435296,0.319876251959,0.646929310678,0.790095635726,0.723579885504,0.000000000000
