node_name,dma_column,degree,weighted_degree,propagation_entropy,effective_neighbors
A,DMA 1,9,4.278090733982792,2.0876789773127546,8.066171653255948
B,DMA 2,9,5.102925149945231,2.129331914602786,8.409246839323592
C,DMA 3,9,4.722114805440799,2.0884296792271804,8.072229217186074
D,DMA 4,9,5.401172935150241,2.1600023388738703,8.671157939184466
E,DMA 5,9,6.27749540859586,2.17564768371308,8.807888000762189
F,DMA 6,9,2.9410082231755466,2.0097189919258076,7.4612203895291715
G,DMA 7,9,5.666013481617988,2.174163678127175,8.794826739658287
H,DMA 8,9,5.967992039174441,2.176815036479035,8.818175916827446
I,DMA 9,9,3.5882630451107502,2.1132513595333338,8.275102927326081
J,DMA 10,9,5.579230326173344,2.172591065820782,8.78100675648091
