,A,B,C,D,E,F,G,H,I,J
A,0.000000000000,0.139799369020,0.146723307499,0.102727150746,0.123502885535,0.007462104240,0.132977991364,0.124689750429,0.072545301199,0.149572139969
B,0.117202264906,0.000000000000,0.163258551001,0.122930309354,0.139807237054,0.029372430896,0.129734718972,0.113427194409,0.069904168745,0.114363124663
C,0.132926802530,0.176424377672,0.000000000000,0.135667957567,0.139766289784,0.026989411751,0.133131380955,0.107732749137,0.034273222514,0.113087808089
D,0.081366784032,0.116142211113,0.118611212554,0.000000000000,0.158561686789,0.096787791498,0.124326306679,0.139278661520,0.053502965860,0.111422379955
E,0.084166776053,0.113648170118,0.105136272244,0.136426876564,0.000000000000,0.085221167269,0.134880332347,0.143268933594,0.079456971432,0.117794500380
F,0.010854630991,0.050963922901,0.043334493190,0.177751152062,0.181902070872,0.000000000000,0.153443988901,0.183769550763,0.089216042896,0.108764147423
G,0.100404263866,0.116841684619,0.110953083171,0.118515052063,0.149436754742,0.079646833637,0.000000000000,0.138475635804,0.071549535130,0.114177156969
H,0.089382502931,0.096985800121,0.085242474586,0.126050459201,0.150698939765,0.090561072538,0.131468811317,0.000000000000,0.097221084037,0.132388855504
I,0.086491814271,0.099411814655,0.045103184864,0.080534444526,0.139006189644,0.073123155270,0.112979629853,0.161697915754,0.000000000000,0.201651851162
J,0.114690225830,0.104599815916,0.095714566647,0.107866409487,0.132536997411,0.057333401430,0.115953146376,0.141613733353,0.129691703551,0.000000000000
