family,model,task,MAE,MAPE,RMSE,NSE
star_gnn,Base,24h,5.3563154631,2.21292761,6.848257339,0.9704192118
star_gnn,Base,168h,7.7348375553,3.2484126100000004,9.8174281057,0.9395043653
star_gnn,State,24h,4.895320355,2.0104480899999997,6.1338861334,0.9762687279
star_gnn,State,168h,5.1225108922,2.1023797600000003,6.4683122461,0.973739044
star_gnn,FA-DPR,24h,4.7393363762,1.9445497900000002,6.0790357204,0.9766912497
star_gnn,FA-DPR,168h,7.5780559461,3.27771584,9.3324152446,0.9453340768
star_gnn,Full,24h,4.3608413887,1.8045739200000002,5.5346555758,0.9806789467
star_gnn,Full,168h,4.919811861,2.0137742899999997,6.1608814144,0.9761760221
baselines,stgcn,24h,5.8506902098,2.42452648,7.9045915979,0.9605898151
baselines,stgcn,168h,8.5740333233,3.57584815,10.305691378,0.9333373086
